,states
0,Wyoming
1,Delaware
2,Iowa
3,Oregon
4,Georgia
5,Nevada
6,Rhode Island
7,Arkansas
8,Louisiana
9,Maryland
10,Tennessee
11,Colorado
12,Oklahoma
13,Connecticut
14,Indiana
15,New Mexico 
16,South Carolina
17,Mississippi
18,Michigan
19,Alaska
20,Vermont
21,Idaho
22,Montana
23,West Virginia
24,Wisconsin
25,New Hampshire
26,Ohio
27,Maine
28,Illinois
29,Kentucky
30,South Dakota
31,Pennsylvania
32,New Jersey
33,Kansas
34,Hawaii
35,Missouri
36,Massachusetts
37,Utah
38,Arizona
39,North Dakota
40,Washington
41,North Carolina
